marca,modelo,matricula,combustivel,categoria,transmissao,tipo,lugares,imagem,diaria,disponivel,ultima_revisao,proxima_revisao,ultima_inspecao
Opel,Corsa,AV-33-BW,Gasolina,Citadino,Manual,Automóvel,5,opel_corsa.jpg,52.00,TRUE,2025-05-20,2026-05-20,2025-04-25
Seat,Leon,AW-34-BX,Gasóleo,Compacto,Manual,Automóvel,5,seat_leon.jpg,64.00,TRUE,2025-06-15,2026-06-15,2025-05-10
Seat,Ibiza,AX-35-BY,Gasolina,Citadino,Manual,Automóvel,5,seat_ibiza.jpg,50.00,TRUE,2025-07-01,2026-07-01,2025-06-01
Kia,Ceed,AY-36-BZ,Gasóleo,Compacto,Manual,Automóvel,5,kia_ceed.jpg,62.00,TRUE,2025-06-20,2026-06-20,2025-05-20
Kia,Picanto,AZ-37-CA,Gasolina,Citadino,Manual,Automóvel,4,kia_picanto.jpg,45.00,TRUE,2025-05-10,2026-05-10,2025-04-10
Hyundai,i20,BA-38-CB,Gasolina,Citadino,Manual,Automóvel,5,hyundai_i20.jpg,50.00,TRUE,2025-06-01,2026-06-01,2025-05-01
Hyundai,i30,BB-39-CC,Gasóleo,Compacto,Manual,Automóvel,5,hyundai_i30.jpg,60.00,TRUE,2025-07-01,2026-07-01,2025-06-01
Citroën,C3,BC-40-CD,Gasolina,Citadino,Manual,Automóvel,5,citroen_c3.jpg,52.00,TRUE,2025-05-15,2026-05-15,2025-04-15
Citroën,C5 Aircross,BD-41-CE,Híbrido,SUV,Automática,Automóvel,5,citroen_c5.jpg,80.00,TRUE,2025-06-10,2026-06-10,2025-05-10
Yamaha,MT-07,BE-42-CF,Gasolina,Moto,N/A,Moto,2,yamaha_mt07.jpg,40.00,TRUE,2025-05-01,2026-05-01,2025-04-01
Yamaha,XMAX 300,BF-43-CG,Gasolina,Scooter,N/A,Moto,2,yamaha_xmax.jpg,35.00,TRUE,2025-06-01,2026-06-01,2025-05-01
Honda,CB500F,BG-44-CH,Gasolina,Naked,N/A,Moto,2,honda_cb500f.jpg,38.00,TRUE,2025-05-15,2026-05-15,2025-04-15
Honda,PCX 125,BH-45-CI,Gasolina,Scooter,N/A,Moto,2,honda_pcx125.jpg,30.00,TRUE,2025-07-01,2026-07-01,2025-06-01
Kawasaki,Z650,BI-46-CJ,Gasolina,Naked,N/A,Moto,2,kawasaki_z650.jpg,42.00,TRUE,2025-06-10,2026-06-10,2025-05-10
Kawasaki,Versys 650,BJ-47-CK,Gasolina,Touring,N/A,Moto,2,kawasaki_versys.jpg,45.00,TRUE,2025-05-05,2026-05-05,2025-04-05
Suzuki,SV650,BK-48-CL,Gasolina,Naked,N/A,Moto,2,suzuki_sv650.jpg,39.00,TRUE,2025-07-01,2026-07-01,2025-06-01
Suzuki,Burgman 400,BL-49-CM,Gasolina,Scooter,N/A,Moto,2,suzuki_burgman.jpg,37.00,TRUE,2025-06-15,2026-06-15,2025-05-15
BMW,F 900 R,BM-50-CN,Gasolina,Naked,N/A,Moto,2,bmw_f900r.jpg,50.00,TRUE,2025-08-01,2026-08-01,2025-07-01
BMW,C 400 X,BN-51-CO,Gasolina,Scooter,N/A,Moto,2,bmw_c400x.jpg,42.00,TRUE,2025-07-10,2026-07-10,2025-06-10
